City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Butaritari,KI,81.34,light rain,3.0707,172.7902,Isles Sunset Lodge
1,Rikitea,PF,77.31,few clouds,-23.1203,-134.9692,People ThankYou
3,Kapaa,US,77.47,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
9,Indramayu,ID,78.66,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
15,Kavieng,PG,78.26,light rain,-2.5744,150.7967,Nusa Island Retreat
16,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
17,Bambous Virieux,MU,80.22,light rain,-20.3428,57.7575,Casa Tia Villa
18,Corn Island,NI,80.22,clear sky,12.1694,-83.0418,Big Fish Guest House
24,Saint-Pierre,RE,83.88,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
26,Hilo,US,82.13,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
31,Arraial Do Cabo,BR,76.96,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
33,Lorengau,PG,77.09,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
36,Kahului,US,82.42,clear sky,20.8947,-156.47,Maui Seaside Hotel
38,Prado,BR,77.05,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
39,Saint-Philippe,RE,83.79,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
41,Bowen,AU,75.42,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
43,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
44,Hobyo,SO,77.92,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
47,Hithadhoo,MV,82.36,overcast clouds,-0.6,73.0833,Scoop Guest House
49,Bontang,ID,73.92,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
51,Nazas,MX,85.64,clear sky,25.2333,-104.1333,Hotel Río Nazas
54,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
55,Pringsewu,ID,72.41,heavy intensity rain,-5.3582,104.9744,Urban Style by Front One
58,Atuona,PF,78.46,few clouds,-9.8,-139.0333,Villa Enata
59,Sechura,PE,77.72,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
69,Port Blair,IN,71.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
72,Jefferson City,US,73.31,clear sky,38.5767,-92.1735,DoubleTree by Hilton Hotel Jefferson City
77,Carnarvon,AU,80.67,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
78,Bonthe,SL,78.08,light rain,7.5264,-12.505,Bonthe Holiday Village
81,Vaini,TO,80.47,moderate rain,-21.2,-175.2,Keleti Beach Resort
84,Pochutla,MX,88.83,clear sky,15.7432,-96.4661,Hotel Posada San Jose
88,Puerto Ayora,EC,84.16,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
91,Dhidhdhoo,MV,81.37,clear sky,6.8833,73.1,Dhidhoo beach
92,Matadi,CD,77.85,light rain,-5.8167,13.45,Hotel Vivi Palace
98,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Pirineos
100,Cidreira,BR,76.46,broken clouds,-30.1811,-50.2056,Hotel Castelo
102,Kaduqli,SD,73.94,scattered clouds,11.0167,29.7167,Nussyba
104,Kavaratti,IN,80.49,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
107,Portobelo,PA,88.21,broken clouds,9.55,-79.65,Scuba Portobelo
109,Chuy,UY,72.9,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
119,Sao Raimundo Nonato,BR,79.07,broken clouds,-9.0153,-42.6994,Real Hotel
125,Neiafu,TO,81.82,moderate rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
130,Mahebourg,MU,80.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
133,Keti Bandar,PK,72.57,clear sky,24.1447,67.4497,Haji laloo memon house
134,Flinders,AU,70.81,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
135,Gondanglegi,ID,73.8,light rain,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
139,Faanui,PF,81.09,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
141,Papara,BR,81.68,overcast clouds,-3.9839,-38.7273,Bela vista Maranguape
146,General Pico,AR,74.84,overcast clouds,-35.6566,-63.7568,Euskadi Hotel
150,Xuddur,SO,76.87,scattered clouds,4.1213,43.8894,Banjanay Hotel
152,Nacala,MZ,75.29,light rain,-14.5428,40.6728,Nacala Plaza Business Design Hotel
153,Belmonte,BR,81.1,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
156,Vao,NC,79.88,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
157,Fare,PF,81.45,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
162,Trujillo,PE,71.56,scattered clouds,-8.116,-79.03,Casa Andina Standard Trujillo Plaza
165,Padang,ID,76.73,light rain,-0.9492,100.3543,Mercure Padang
166,Dwarka,IN,72.16,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
167,Sinnamary,GF,77.25,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
170,Roebourne,AU,82.36,few clouds,-20.7833,117.1333,Latitude20 Roebourne Village
171,Ranot,TH,80.56,broken clouds,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
172,Alta Floresta,BR,75.09,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
177,Buritica,CO,80.85,overcast clouds,6.7187,-75.9073,HOTEL EL MIRADOR
180,San Ramon De La Nueva Oran,AR,75.78,broken clouds,-23.1322,-64.326,Hotel Residencial Centro
185,Olinda,BR,83.93,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
189,Upata,VE,78.19,overcast clouds,8.0086,-62.3989,Posada Villa Nela
192,Taltal,CL,71.02,few clouds,-25.4,-70.4833,Residencial Karime
193,Bellavista,PE,87.08,broken clouds,-7.0561,-76.5911,Hospedaje Bella Durmiente
196,Karratha,AU,82.65,light rain,-20.7377,116.8463,ibis Styles Karratha
199,Ahipara,NZ,75.09,few clouds,-35.1667,173.1667,Ahipara Holiday Park
200,Kaeo,NZ,76.32,scattered clouds,-35.1,173.7833,Bushido Lodge
202,Pisco,PE,75.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
205,Ziniare,BF,80.64,clear sky,12.5822,-1.2983,Privilège Hôtel de Ziniaré
206,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
212,Mount Isa,AU,76.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
215,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
217,Ranong,TH,75.18,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
219,Humberto De Campos,BR,78.6,broken clouds,-2.5983,-43.4611,Pousada do Cabeça
222,Puerto Escondido,MX,85.68,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
225,Can Tho,VN,76.98,clear sky,10.0333,105.7833,Kim Lan Hotel Can Tho
229,Gizo,SB,84.02,overcast clouds,-8.103,156.8419,Imagination Island
